split,image,class_id,x_center,y_center,box_width,box_height,box_area,aspect_ratio
train,20230614_150814ll.jpg,0,0.3635,0.343875,0.169667,0.07725,0.01310677575,2.1963365695792882
train,20230614_150814ll.jpg,0,0.0565,0.061,0.035667,0.011,0.0003923369999999999,3.2424545454545455
train,20230614_150814ll.jpg,0,0.1435,0.082875,0.021667,0.01025,0.00022208674999999999,2.113853658536585
train,20230614_150819ll.jpg,0,0.615,0.198125,0.168,0.05525,0.009282,3.040723981900453
train,20230614_150826ll.jpg,0,0.280167,0.018875,0.087,0.02725,0.00237075,3.1926605504587156
train,20230614_150826ll.jpg,0,0.551333,0.12475,0.066667,0.039,0.002600013,1.7094102564102565
train,20230614_150826ll.jpg,0,0.927333,0.13725,0.117333,0.049,0.005749317,2.3945510204081635
train,20230614_150831ll.jpg,0,0.562167,0.291625,0.187,0.14025,0.026226750000000004,1.3333333333333333
train,20230614_150847ll.jpg,0,0.502,0.22375,0.107333,0.039,0.0041859869999999995,2.752128205128205
train,20230614_150847ll.jpg,0,0.724333,0.25125,0.04,0.016,0.00064,2.5
train,20230614_150847ll.jpg,0,0.176833,0.228375,0.031667,0.02575,0.00081542525,1.2297864077669904
train,20230614_150847ll.jpg,0,0.625667,0.175,0.048667,0.015,0.000730005,3.244466666666667
train,20230614_150847ll.jpg,0,0.946333,0.188625,0.051333,0.02025,0.00103949325,2.534962962962963
train,20230614_150849ll.jpg,0,0.451167,0.263875,0.139,0.02175,0.00302325,6.39080459770115
train,20230614_150849ll.jpg,0,0.9115,0.266625,0.120333,0.04875,0.00586623375,2.4683692307692304
train,20230614_150849ll.jpg,0,0.120833,0.201875,0.104333,0.05875,0.006129563749999999,1.7758808510638298
train,20230614_150849ll.jpg,0,0.545,0.258125,0.036,0.02025,0.0007289999999999999,1.7777777777777777
train,20230614_150849ll.jpg,0,0.7025,0.23625,0.024333,0.013,0.000316329,1.8717692307692309
train,20230614_150849ll.jpg,0,0.587,0.206375,0.022667,0.01025,0.00023233675000000002,2.211414634146341
train,20230614_150920ll.jpg,0,0.224333,0.271,0.1,0.073,0.0073,1.3698630136986303
train,20230614_150920ll.jpg,0,0.052667,0.23125,0.069333,0.063,0.004367979,1.1005238095238097
train,20230614_150923ll.jpg,0,0.389667,0.436125,0.094,0.07275,0.0068385,1.2920962199312716
train,20230614_150923ll.jpg,0,0.652,0.04375,0.059333,0.036,0.0021359879999999997,1.6481388888888888
train,20230614_150924ll.jpg,0,0.286167,0.3025,0.113,0.062,0.007006,1.8225806451612905
train,20230614_150924ll.jpg,0,0.933667,0.595875,0.132667,0.10975,0.01456020325,1.2088109339407747
train,20230614_150924ll.jpg,0,0.322333,0.016125,0.066667,0.02375,0.0015833412500000001,2.8070315789473685
train,20230614_150927ll.jpg,0,0.314167,0.31225,0.129,0.101,0.013029,1.2772277227722773
train,20230614_150927ll.jpg,0,0.9575,0.087,0.029667,0.0175,0.0005191725,1.6952571428571426
train,20230614_150935ll.jpg,0,0.464333,0.423625,0.107333,0.07825,0.00839880725,1.371667731629393
train,20230614_150935ll.jpg,0,0.378667,0.11125,0.116,0.1075,0.01247,1.0790697674418606
train,20230614_150939ll.jpg,0,0.206333,0.375375,0.156667,0.09225,0.01445253075,1.6982872628726287
train,20230614_150941ll.jpg,0,0.238833,0.397625,0.129,0.08025,0.01035225,1.6074766355140186
train,20230614_150941ll.jpg,0,0.581667,0.40475,0.159333,0.101,0.016092633000000002,1.5775544554455445
train,20230614_150941ll.jpg,0,0.110833,0.23025,0.104333,0.061,0.006364313,1.7103770491803278
train,20230614_150945ll.jpg,0,0.0665,0.1655,0.094333,0.086,0.008112638,1.0968953488372093
train,20230614_150945ll.jpg,0,0.26,0.3845,0.098667,0.1,0.0098667,0.98667
train,20230614_150947ll.jpg,0,0.5585,0.485125,0.130333,0.12275,0.015998375750000002,1.061775967413442
train,20230614_150947ll.jpg,0,0.3295,0.270375,0.093,0.09125,0.008486249999999999,1.0191780821917809
train,20230614_150947ll.jpg,0,0.12,0.159625,0.074,0.06525,0.0048285,1.1340996168582373
train,20230614_150948ll.jpg,0,0.320833,0.3715,0.098333,0.0825,0.0081124725,1.1919151515151516
train,20230614_150948ll.jpg,0,0.661333,0.54,0.142,0.1215,0.017252999999999998,1.168724279835391
train,20230614_150950ll.jpg,0,0.251333,0.362875,0.11,0.07825,0.0086075,1.4057507987220448
train,20230614_150950ll.jpg,0,0.783167,0.641625,0.203,0.13575,0.027557250000000005,1.4953959484346224
train,20230614_150952ll.jpg,0,0.361333,0.301375,0.148,0.15325,0.022681,0.965742251223491
train,20230614_151016ll.jpg,0,0.568,0.2225,0.21,0.1,0.021,2.0999999999999996
train,20230614_151211ll.jpg,0,0.485333,0.64,0.485333,0.2045,0.0992505985,2.373266503667482
train,20230614_151232ll.jpg,0,0.491833,0.535125,0.423,0.14475,0.06122924999999999,2.922279792746114
train,20230614_151233ll.jpg,0,0.391833,0.31175,0.188333,0.115,0.021658295,1.6376782608695652
train,20230614_151235ll.jpg,0,0.580333,0.186125,0.223333,0.09675,0.02160746775,2.3083514211886307
train,20230614_151235ll.jpg,0,0.373,0.014125,0.086667,0.02775,0.00240500925,3.123135135135135
train,20230614_151244ll.jpg,0,0.531667,0.396,0.192667,0.1425,0.0274550475,1.3520491228070177
train,20230614_151244ll.jpg,0,0.555667,0.03025,0.124667,0.0455,0.0056723484999999995,2.739934065934066
train,20230614_151249ll.jpg,0,0.618,0.210125,0.159333,0.12275,0.01955812575,1.2980285132382892
train,20230619_182712ll.jpg,0,0.732167,0.519625,0.049,0.02775,0.00135975,1.7657657657657657
train,20230619_182712ll.jpg,0,0.4205,0.47875,0.027,0.0215,0.0005805,1.255813953488372
train,20230620_155828ll.jpg,0,0.5485,0.514375,0.246333,0.13375,0.032947038750000004,1.8417420560747662
train,20230620_155840ll.jpg,0,0.374167,0.420375,0.051,0.02425,0.00123675,2.1030927835051543
train,20230620_155840ll.jpg,0,0.569833,0.38475,0.049,0.022,0.001078,2.2272727272727275
train,20230620_155840ll.jpg,0,0.7365,0.375625,0.050333,0.03725,0.00187490425,1.3512214765100672
train,20230620_160009ll.jpg,0,0.186,0.147375,0.015333,0.00575,8.816474999999999e-05,2.6666086956521737
train,20230620_160009ll.jpg,0,0.242833,0.147375,0.013667,0.00625,8.541875000000001e-05,2.1867199999999998
train,20230620_160009ll.jpg,0,0.341167,0.191875,0.024333,0.00925,0.00022508024999999998,2.6305945945945948
train,20230620_160009ll.jpg,0,0.149333,0.134875,0.011333,0.00625,7.083125e-05,1.8132799999999998
train,20230620_160009ll.jpg,0,0.0365,0.156875,0.031667,0.01075,0.00034042025,2.9457674418604656
train,20230620_160022ll.jpg,0,0.4985,0.423125,0.146333,0.08375,0.01225538875,1.747259701492537
train,20230620_160022ll.jpg,0,0.284,0.24225,0.082667,0.0305,0.0025213435000000003,2.710393442622951
train,20230620_160023ll.jpg,0,0.449667,0.354625,0.124667,0.07925,0.00987985975,1.5730851735015772
train,20230620_160033ll.jpg,0,0.5055,0.39,0.169667,0.098,0.016627366,1.731295918367347
train,20230620_160033ll.jpg,0,0.620833,0.011375,0.063667,0.02225,0.00141659075,2.861438202247191
train,20230620_160035ll.jpg,0,0.5695,0.245375,0.088333,0.02825,0.00249540725,3.1268318584070793
train,20230620_160035ll.jpg,0,0.684333,0.1415,0.023333,0.011,0.00025666299999999996,2.1211818181818183
train,20230620_160035ll.jpg,0,0.865667,0.11575,0.034,0.0105,0.00035700000000000006,3.238095238095238
train,20230620_160035ll.jpg,0,0.8015,0.11725,0.007667,0.0045,3.45015e-05,1.703777777777778
train,20230620_160108ll.jpg,0,0.401333,0.359625,0.082667,0.06075,0.00502202025,1.3607736625514404
train,20230620_160108ll.jpg,0,0.762333,0.226,0.031333,0.0265,0.0008303245,1.1823773584905661
train,20230620_160108ll.jpg,0,0.688667,0.272875,0.04,0.02875,0.00115,1.391304347826087
train,20230620_160111ll.jpg,0,0.720833,0.3725,0.107,0.05,0.005350000000000001,2.1399999999999997
train,20230620_160116ll.jpg,0,0.165,0.191625,0.1,0.06625,0.006625000000000001,1.509433962264151
train,20230620_160116ll.jpg,0,0.465,0.244875,0.102667,0.04875,0.00500501625,2.1059897435897432
train,20230620_160116ll.jpg,0,0.5715,0.091125,0.072333,0.04125,0.0029837362499999997,1.7535272727272726
train,20230620_160124ll.jpg,0,0.426,0.405,0.114667,0.1195,0.0137027065,0.9595564853556486
train,20230620_160124ll.jpg,0,0.697667,0.2335,0.075333,0.0955,0.0071943015,0.78882722513089
train,20230620_160125ll.jpg,0,0.530333,0.328125,0.111333,0.11525,0.01283112825,0.9660130151843818
train,20230620_160128ll.jpg,0,0.349,0.1465,0.140667,0.087,0.012238028999999997,1.616862068965517
train,20230620_160143ll.jpg,0,0.5585,0.415,0.153667,0.1305,0.0200535435,1.1775249042145592
train,20230620_160148ll.jpg,0,0.535167,0.326875,0.049,0.01825,0.00089425,2.684931506849315
train,20230620_160148ll.jpg,0,0.353167,0.229625,0.039,0.00925,0.00036074999999999996,4.216216216216217
train,20230620_160148ll.jpg,0,0.284,0.21175,0.019333,0.0045,8.699849999999999e-05,4.296222222222222
train,20230620_160205ll.jpg,0,0.730833,0.423125,0.113,0.06625,0.007486250000000001,1.7056603773584906
train,20230620_160208ll.jpg,0,0.4795,0.336125,0.071,0.02925,0.00207675,2.427350427350427
train,20230620_160208ll.jpg,0,0.230333,0.137125,0.033333,0.01575,0.00052499475,2.1163809523809523
train,20230620_160209ll.jpg,0,0.728,0.200375,0.133333,0.04225,0.005633319250000001,3.155810650887574
train,20230620_160209ll.jpg,0,0.100833,0.095625,0.016333,0.01325,0.00021641225,1.2326792452830189
train,20230620_160209ll.jpg,0,0.185333,0.15375,0.028667,0.011,0.000315337,2.6060909090909092
train,20230620_160209ll.jpg,0,0.2645,0.138375,0.049,0.01525,0.00074725,3.2131147540983607
train,20230620_160210ll.jpg,0,0.5045,0.220375,0.040333,0.01975,0.00079657675,2.0421772151898736
train,20230620_160210ll.jpg,0,0.143333,0.11975,0.016,0.008,0.000128,2.0
train,20230620_160210ll.jpg,0,0.324833,0.115125,0.049667,0.01425,0.00070775475,3.4854035087719297
train,20230620_160211ll.jpg,0,0.586,0.262375,0.043333,0.02875,0.00124582375,1.5072347826086958
train,20230620_160211ll.jpg,0,0.295833,0.1385,0.018333,0.01,0.00018333,1.8333
train,20230620_160211ll.jpg,0,0.221833,0.09275,0.027667,0.0085,0.00023516950000000003,3.254941176470588
train,20230620_160211ll.jpg,0,0.42,0.12925,0.034667,0.01,0.00034667000000000004,3.4667000000000003
train,20230620_160212ll.jpg,0,0.259833,0.091875,0.021,0.00775,0.00016275,2.709677419354839
train,20230620_160212ll.jpg,0,0.291333,0.12225,0.012667,0.0085,0.0001076695,1.4902352941176469
