split,image,width,height,megapixels,brightness,sharpness,read_error,flag_blur,flag_dark,flag_overexposed,flag_low_resolution,review_required,refinement_decision,lighting_group
train,20230614_150814ll.jpg,3000,4000,12.0,127.18612308333333,1124.8241156798001,False,False,False,False,False,False,RETAIN,Normal
train,20230614_150819ll.jpg,3000,4000,12.0,151.54661433333334,250.78875121089493,False,False,False,False,False,False,RETAIN,Normal
train,20230614_150826ll.jpg,3000,4000,12.0,164.68114858333334,99.726128023104,False,False,False,False,False,False,RETAIN,Normal
train,20230614_150831ll.jpg,3000,4000,12.0,132.0133255,511.22549020963254,False,False,False,False,False,False,RETAIN,Normal
train,20230614_150847ll.jpg,3000,4000,12.0,115.84139925,2187.000609570621,False,False,False,False,False,False,RETAIN,Normal
train,20230614_150849ll.jpg,3000,4000,12.0,112.54879541666666,1993.1242780867121,False,False,False,False,False,False,RETAIN,Normal
train,20230614_150920ll.jpg,3000,4000,12.0,139.902772,1829.3236762459144,False,False,False,False,False,False,RETAIN,Normal
train,20230614_150923ll.jpg,3000,4000,12.0,112.79167566666666,556.2813954568745,False,False,False,False,False,False,RETAIN,Normal
train,20230614_150924ll.jpg,3000,4000,12.0,119.28831083333333,570.7725057123453,False,False,False,False,False,False,RETAIN,Normal
train,20230614_150927ll.jpg,3000,4000,12.0,132.27479633333334,1259.4359304155746,False,False,False,False,False,False,RETAIN,Normal
train,20230614_150935ll.jpg,3000,4000,12.0,123.34534433333333,2323.404363318245,False,False,False,False,False,False,RETAIN,Normal
train,20230614_150939ll.jpg,3000,4000,12.0,120.05578175,1203.0657559832787,False,False,False,False,False,False,RETAIN,Normal
train,20230614_150941ll.jpg,3000,4000,12.0,132.68178758333335,528.909317749858,False,False,False,False,False,False,RETAIN,Normal
train,20230614_150945ll.jpg,3000,4000,12.0,121.46436241666666,115.00646697375599,False,False,False,False,False,False,RETAIN,Normal
train,20230614_150947ll.jpg,3000,4000,12.0,124.95144425,204.18262606806047,False,False,False,False,False,False,RETAIN,Normal
train,20230614_150948ll.jpg,3000,4000,12.0,118.55014225,230.01021216619722,False,False,False,False,False,False,RETAIN,Normal
train,20230614_150950ll.jpg,3000,4000,12.0,128.84746,339.7260795448656,False,False,False,False,False,False,RETAIN,Normal
train,20230614_150952ll.jpg,3000,4000,12.0,142.72589566666667,108.36674865250568,False,False,False,False,False,False,RETAIN,Normal
train,20230614_151016ll.jpg,3000,4000,12.0,140.19188875,40.00658191660399,False,True,False,False,False,True,RETAIN - difficult sample reviewed,Normal
train,20230614_151211ll.jpg,3000,4000,12.0,125.44099791666666,76.661447499879,False,False,False,False,False,False,RETAIN,Normal
train,20230614_151232ll.jpg,3000,4000,12.0,111.254572,197.05345524815817,False,False,False,False,False,False,RETAIN,Normal
train,20230614_151233ll.jpg,3000,4000,12.0,138.69592491666666,66.83840913336041,False,False,False,False,False,False,RETAIN,Normal
train,20230614_151235ll.jpg,3000,4000,12.0,160.051906,105.18380933662482,False,False,False,False,False,False,RETAIN,Normal
train,20230614_151244ll.jpg,3000,4000,12.0,136.49899675,38.78379286983049,False,True,False,False,False,True,RETAIN - difficult sample reviewed,Normal
train,20230614_151249ll.jpg,3000,4000,12.0,131.968531,75.75187765707331,False,False,False,False,False,False,RETAIN,Normal
train,20230619_182712ll.jpg,3000,4000,12.0,117.7663195,158.57869297194378,False,False,False,False,False,False,RETAIN,Normal
train,20230620_155828ll.jpg,3000,4000,12.0,120.22420783333334,38.311687663417665,False,True,False,False,False,True,RETAIN - difficult sample reviewed,Normal
train,20230620_155840ll.jpg,3000,4000,12.0,129.031858,268.2582652209013,False,False,False,False,False,False,RETAIN,Normal
train,20230620_160009ll.jpg,3000,4000,12.0,156.32297141666666,575.9169185741653,False,False,False,False,False,False,RETAIN,Normal
train,20230620_160022ll.jpg,3000,4000,12.0,138.95374933333332,51.743346495818216,False,True,False,False,False,True,RETAIN - difficult sample reviewed,Normal
train,20230620_160023ll.jpg,3000,4000,12.0,147.11298858333333,136.89525432007,False,False,False,False,False,False,RETAIN,Normal
train,20230620_160033ll.jpg,3000,4000,12.0,150.43563316666666,576.4542798979204,False,False,False,False,False,False,RETAIN,Normal
train,20230620_160035ll.jpg,3000,4000,12.0,157.64111375,152.76150257988178,False,False,False,False,False,False,RETAIN,Normal
train,20230620_160108ll.jpg,3000,4000,12.0,132.88869983333333,2365.6479592867495,False,False,False,False,False,False,RETAIN,Normal
train,20230620_160111ll.jpg,3000,4000,12.0,137.69673358333333,212.24659815686567,False,False,False,False,False,False,RETAIN,Normal
train,20230620_160116ll.jpg,3000,4000,12.0,127.77510591666666,318.91438127232436,False,False,False,False,False,False,RETAIN,Normal
train,20230620_160124ll.jpg,3000,4000,12.0,116.55333058333333,283.64024194327664,False,False,False,False,False,False,RETAIN,Normal
train,20230620_160125ll.jpg,3000,4000,12.0,122.62197291666666,187.30213016269767,False,False,False,False,False,False,RETAIN,Normal
train,20230620_160128ll.jpg,3000,4000,12.0,145.0697485,25.118159578491493,False,True,False,False,False,True,RETAIN - difficult sample reviewed,Normal
train,20230620_160143ll.jpg,3000,4000,12.0,113.03855291666666,635.0720194377275,False,False,False,False,False,False,RETAIN,Normal
train,20230620_160148ll.jpg,3000,4000,12.0,168.96662291666667,265.5133470828082,False,False,False,False,False,False,RETAIN,Normal
train,20230620_160205ll.jpg,3000,4000,12.0,148.8812655,913.5484266228054,False,False,False,False,False,False,RETAIN,Normal
train,20230620_160208ll.jpg,3000,4000,12.0,170.64588558333332,1572.2872734949776,False,False,False,False,False,False,RETAIN,Normal
train,20230620_160209ll.jpg,3000,4000,12.0,165.501376,674.6328315534344,False,False,False,False,False,False,RETAIN,Normal
train,20230620_160210ll.jpg,3000,4000,12.0,166.10588841666666,679.8238530535466,False,False,False,False,False,False,RETAIN,Normal
train,20230620_160211ll.jpg,3000,4000,12.0,166.88302366666667,201.3820421390255,False,False,False,False,False,False,RETAIN,Normal
train,20230620_160212ll.jpg,3000,4000,12.0,132.95946766666665,867.6848001079105,False,False,False,False,False,False,RETAIN,Normal
train,20230620_160214ll.jpg,3000,4000,12.0,158.42960641666667,1294.3479870386218,False,False,False,False,False,False,RETAIN,Normal
